0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
-2.145933e-03 3.065609e-03 -4.291852e-01 6.131158e-01 0.000000e+00 
-8.583408e-03 1.226114e-02 -8.582989e-01 1.225947e+00 0.000000e+00 
-1.931051e-02 2.757899e-02 -1.287002e+00 1.837145e+00 0.000000e+00 
-3.431948e-02 4.898825e-02 -1.714411e+00 2.443190e+00 0.000000e+00 
-5.358891e-02 7.640361e-02 -2.138837e+00 3.037347e+00 0.000000e+00 
-7.707746e-02 1.096601e-01 -2.557666e+00 3.609149e+00 0.000000e+00 
-1.047117e-01 1.484646e-01 -2.967198e+00 4.143724e+00 0.000000e+00 
-1.363762e-01 1.923526e-01 -3.363084e+00 4.623293e+00 0.000000e+00 
-1.719125e-01 2.406834e-01 -3.740496e+00 5.027815e+00 0.000000e+00 
-2.111110e-01 2.926015e-01 -4.094838e+00 5.337504e+00 0.000000e+00 
-2.537187e-01 3.470575e-01 -4.422407e+00 5.535462e+00 0.000000e+00 
-2.994597e-01 4.028881e-01 -4.720891e+00 5.610017e+00 0.000000e+00 
-3.480361e-01 4.588239e-01 -4.989359e+00 5.554791e+00 0.000000e+00 
-3.991466e-01 5.135503e-01 -5.227895e+00 5.368193e+00 0.000000e+00 
-4.524960e-01 5.657562e-01 -5.436982e+00 5.051872e+00 0.000000e+00 
-5.077893e-01 6.141618e-01 -5.616692e+00 4.608848e+00 0.000000e+00 
-5.647306e-01 6.575230e-01 -5.766588e+00 4.043282e+00 0.000000e+00 
-6.230155e-01 6.946328e-01 -5.884888e+00 3.358205e+00 0.000000e+00 
-6.823139e-01 7.242996e-01 -5.968182e+00 2.555062e+00 0.000000e+00 
-7.422490e-01 7.453426e-01 -6.011767e+00 1.634517e+00 0.000000e+00 
-8.023951e-01 7.565918e-01 -6.009629e+00 5.963423e-01 0.000000e+00 
-8.622662e-01 7.568757e-01 -5.954630e+00 -5.609084e-01 0.000000e+00 
-9.212877e-01 7.449759e-01 -5.838957e+00 -1.839743e+00 0.000000e+00 
-9.788167e-01 7.196619e-01 -5.655391e+00 -3.242569e+00 0.000000e+00 
-1.034154e+00 6.797182e-01 -5.398118e+00 -4.770588e+00 0.000000e+00 
-1.086529e+00 6.238537e-01 -5.063737e+00 -6.423945e+00 0.000000e+00 
-1.135177e+00 5.508496e-01 -4.656785e+00 -8.187500e+00 0.000000e+00 
-1.179477e+00 4.598726e-01 -4.195756e+00 -1.001387e+01 0.000000e+00 
-1.219054e+00 3.507354e-01 -3.722506e+00 -1.179368e+01 0.000000e+00 
-1.254157e+00 2.249021e-01 -3.320788e+00 -1.329413e+01 0.000000e+00 
-1.286080e+00 8.686541e-02 -3.105432e+00 -1.417990e+01 0.000000e+00 
-1.317259e+00 -5.552727e-02 -3.183227e+00 -1.412992e+01 0.000000e+00 
-1.350761e+00 -1.924808e-01 -3.561891e+00 -1.311628e+01 0.000000e+00 
-1.389187e+00 -3.155514e-01 -4.147303e+00 -1.141278e+01 0.000000e+00 
-1.433994e+00 -4.195803e-01 -4.820112e+00 -9.357439e+00 0.000000e+00 
